act,song,speaker,line
The Troy Saga,The Horse and the Infant,Odysseus,And Little Ajax will stay back
The Troy Saga,The Horse and the Infant,Soldiers,And Little Ajax will stay back
The Troy Saga,The Horse and the Infant,Odysseus,"Nestor, secure Helen and protect her"
The Troy Saga,The Horse and the Infant,Soldiers,"Nestor, secure Helen and protect her"
The Troy Saga,The Horse and the Infant,Odysseus,"Neo, avenge your father, kill the brothers of Hector!"
The Troy Saga,The Horse and the Infant,Soldiers,"Neo, avenge your father, kill the brothers of Hector!"
The Troy Saga,The Horse and the Infant,Soldiers,Yes sir!
The Troy Saga,The Horse and the Infant,Odysseus,Find that inner strength now
The Troy Saga,The Horse and the Infant,Odysseus,Use that well of pride
The Troy Saga,The Horse and the Infant,Odysseus,Fight through every pain now
The Troy Saga,The Horse and the Infant,Odysseus,Ask yourself inside
The Troy Saga,The Horse and the Infant,Odysseus,What do you live for?
The Troy Saga,The Horse and the Infant,Odysseus,What do you try for?
The Troy Saga,The Horse and the Infant,Odysseus,What do you wish for?
The Troy Saga,The Horse and the Infant,Odysseus,What do you fight for?
The Troy Saga,The Horse and the Infant,Soldiers,What do you live for?
The Troy Saga,The Horse and the Infant,Soldiers,What do you try for?
The Troy Saga,The Horse and the Infant,Soldiers,What do you wish for?
The Troy Saga,The Horse and the Infant,Soldiers,What do you fight for?
The Troy Saga,The Horse and the Infant,Odysseus,Penelope...
The Troy Saga,The Horse and the Infant,Odysseus,Penelope...
The Troy Saga,The Horse and the Infant,Odysseus,And Telemachus
The Troy Saga,The Horse and the Infant,Odysseus,"I fight for us, I fight for us"
The Troy Saga,The Horse and the Infant,Soldiers,What do you live for?
The Troy Saga,The Horse and the Infant,Odysseus,Penelope
The Troy Saga,The Horse and the Infant,Soldiers,What do you try for?
The Troy Saga,The Horse and the Infant,Odysseus,Telemachus
The Troy Saga,The Horse and the Infant,Soldiers,What do you wish for?
The Troy Saga,The Horse and the Infant,Odysseus,I'm on my way
The Troy Saga,The Horse and the Infant,Soldiers,What do you fight for?
The Troy Saga,The Horse and the Infant,Odysseus,Attack!
The Troy Saga,The Horse and the Infant,Odysseus,Aargh
The Troy Saga,The Horse and the Infant,Odysseus,Who was that?
The Troy Saga,The Horse and the Infant,Zeus,"A vision of what is to come cannot be outrun, can only be dealt with right here and now"
The Troy Saga,The Horse and the Infant,Odysseus,Tell me how
The Troy Saga,The Horse and the Infant,Zeus,I don't think you're ready
The Troy Saga,The Horse and the Infant,Zeus,"A mission to kill someone's son, a foe who won't run, unlike anyone you have faced before"
The Troy Saga,The Horse and the Infant,Odysseus,"Say no more, I know that I'm ready"
The Troy Saga,The Horse and the Infant,Zeus,I don't think you're ready
The Troy Saga,The Horse and the Infant,Odysseus,"It's just an infant, it's just a boy, what sort of imminent threat does he pose that I cannot avoid?"
The Troy Saga,The Horse and the Infant,Zeus,"This is the son of none other than Troy's very own prince Hector, know that he will grow from a boy to an avenger"
The Troy Saga,The Horse and the Infant,Ensemble,"This is the son of none other than Troy's very own prince Hector, know that he will grow from a boy to an avenger"
The Troy Saga,The Horse and the Infant,Zeus,One fuelled with rage as you're consumed by age
The Troy Saga,The Horse and the Infant,Ensemble,One fuelled with rage as you're consumed by age
The Troy Saga,The Horse and the Infant,Zeus,"If you don't end him now, you'll have no one left to save"
The Troy Saga,The Horse and the Infant,Ensemble,"If you don't end him now, you'll have no one left to save"
The Troy Saga,The Horse and the Infant,Zeus,You can say goodbye to
The Troy Saga,The Horse and the Infant,Ensemble,You can say goodbye to
The Troy Saga,The Horse and the Infant,Zeus,Penelope
The Troy Saga,The Horse and the Infant,Ensemble,Penelope
The Troy Saga,The Horse and the Infant,Zeus,You can say goodbye to Penelope
The Troy Saga,The Horse and the Infant,Ensemble,You can say goodbye to Penelope
The Troy Saga,The Horse and the Infant,Odysseus,I could raise him as my own (He will burn your house and throne)
The Troy Saga,The Horse and the Infant,Zeus,I could raise him as my own (He will burn your house and throne)
The Troy Saga,The Horse and the Infant,Odysseus,Or send him far away from home (He'll find you wherever you go)
The Troy Saga,The Horse and the Infant,Zeus,Or send him far away from home (He'll find you wherever you go)
The Troy Saga,The Horse and the Infant,Odysseus,Make sure his past is never known (The gods will make it known)
The Troy Saga,The Horse and the Infant,Zeus,Make sure his past is never known (The gods will make it known)
The Troy Saga,The Horse and the Infant,Odysseus,"I'd rather bleed for ya, down on my knees for ya (He's bringing you down on your knees for ya)"
The Troy Saga,The Horse and the Infant,Zeus,"I'd rather bleed for ya, down on my knees for ya (He's bringing you down on your knees for ya)"
The Troy Saga,The Horse and the Infant,Odysseus,"I'm begging, please"
The Troy Saga,The Horse and the Infant,Zeus,"I'm begging, please"
The Troy Saga,The Horse and the Infant,Odysseus,"Oh, this is the will of the gods"
The Troy Saga,The Horse and the Infant,Zeus,"Oh, this is the will of the gods"
The Troy Saga,The Horse and the Infant,Odysseus,"Please don't make me do this, don't make me do this"
The Troy Saga,The Horse and the Infant,Zeus,"Please don't make me do this, don't make me do this"
The Troy Saga,The Horse and the Infant,Zeus,The blood on your hands is something you won't lose
The Troy Saga,The Horse and the Infant,All,All you can choose is whose
The Troy Saga,Just A Man,Odysseus,I look into your eyes and I
The Troy Saga,Just A Man,Crew,I look into your eyes and I
The Troy Saga,Just A Man,Odysseus,Think back to the son of mine
The Troy Saga,Just A Man,Crew,Think back to the son of mine
The Troy Saga,Just A Man,Odysseus,You're as old as he was when I left for war
The Troy Saga,Just A Man,Crew,You're as old as he was when I left for war
The Troy Saga,Just A Man,Odysseus,Will these actions haunt my days
The Troy Saga,Just A Man,Crew,Will these actions haunt my days
The Troy Saga,Just A Man,Odysseus,Every man I’ve slain?
The Troy Saga,Just A Man,Crew,Every man I’ve slain?
The Troy Saga,Just A Man,Odysseus,Is the price I pay endless pain?
The Troy Saga,Just A Man,Crew,Is the price I pay endless pain?
The Troy Saga,Just A Man,Odysseus,Close your eyes and spare yourself the view
The Troy Saga,Just A Man,Crew,Close your eyes and spare yourself the view
The Troy Saga,Just A Man,Odysseus,How could I hurt you??
The Troy Saga,Just A Man,Crew,How could I hurt you??
The Troy Saga,Just A Man,Odysseus,I'm just a man who's trying to go home
The Troy Saga,Just A Man,Crew,I'm just a man who's trying to go home
The Troy Saga,Just A Man,Odysseus,Even after all the years away from what I’ve known
The Troy Saga,Just A Man,Crew,Even after all the years away from what I’ve known
The Troy Saga,Just A Man,Odysseus,I'm just a man who's fighting for his life
The Troy Saga,Just A Man,Crew,I'm just a man who's fighting for his life
The Troy Saga,Just A Man,Odysseus,Deep down I would trade the world to see my son and wife
The Troy Saga,Just A Man,Crew,Deep down I would trade the world to see my son and wife
The Troy Saga,Just A Man,Odysseus,I'm just a man
The Troy Saga,Just A Man,Crew,I'm just a man
The Troy Saga,Just A Man,Odysseus,But when does a comet become a meteor?
The Troy Saga,Just A Man,Crew,But when does a comet become a meteor?
The Troy Saga,Just A Man,Odysseus,When does a candl? become a blaze?
The Troy Saga,Just A Man,Crew,When does a candl? become a blaze?
The Troy Saga,Just A Man,Odysseus,Wh?n does a man become a monster?
The Troy Saga,Just A Man,Crew,Wh?n does a man become a monster?
The Troy Saga,Just A Man,Odysseus,When does a ripple become a tidal wave?
The Troy Saga,Just A Man,Crew,When does a ripple become a tidal wave?
The Troy Saga,Just A Man,Odysseus,When does the reason become the blame?
The Troy Saga,Just A Man,Crew,When does the reason become the blame?
The Troy Saga,Just A Man,Odysseus,When does a man become a monster?
The Troy Saga,Just A Man,Crew,When does a man become a monster?
The Troy Saga,Just A Man,Odysseus,When does a comet become a meteor?
The Troy Saga,Just A Man,Crew,When does a comet become a meteor?
The Troy Saga,Just A Man,Odysseus,When does a candle become a blaze? Forgive me
The Troy Saga,Just A Man,Crew,When does a candle become a blaze? Forgive me
The Troy Saga,Just A Man,Odysseus,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,Crew,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,Odysseus,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,Crew,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,Odysseus,I'm just a man
The Troy Saga,Just A Man,Crew,I'm just a man
The Troy Saga,Full Speed Ahead,Odysseus,"Six hundred men, six hundred men under my command"
The Troy Saga,Full Speed Ahead,Soldiers,"Six hundred men, six hundred men under my command"
The Troy Saga,Full Speed Ahead,All,"Six hundred men, six hundred men under my command"
The Troy Saga,Full Speed Ahead,Odysseus,With only one goal in mind
The Troy Saga,Full Speed Ahead,Soldiers,With only one goal in mind
The Troy Saga,Full Speed Ahead,All,With only one goal in mind
The Troy Saga,Full Speed Ahead,Odysseus,Make it back alive to our homeland
The Troy Saga,Full Speed Ahead,Soldiers,Make it back alive to our homeland
The Troy Saga,Full Speed Ahead,All,Make it back alive to our homeland
The Troy Saga,Full Speed Ahead,Odysseus,"Six hundred men, six hundred miles of open sea"
The Troy Saga,Full Speed Ahead,Soldiers,"Six hundred men, six hundred miles of open sea"
The Troy Saga,Full Speed Ahead,All,"Six hundred men, six hundred miles of open sea"
The Troy Saga,Full Speed Ahead,Odysseus,But the problem's not the distance
The Troy Saga,Full Speed Ahead,Soldiers,But the problem's not the distance
The Troy Saga,Full Speed Ahead,All,But the problem's not the distance
The Troy Saga,Full Speed Ahead,Odysseus,It's what lies in between
The Troy Saga,Full Speed Ahead,Soldiers,It's what lies in between
The Troy Saga,Full Speed Ahead,All,It's what lies in between
The Troy Saga,Full Speed Ahead,Odysseus,And Ithaca's waiting Ithaca's waiting
The Troy Saga,Full Speed Ahead,Soldiers,And Ithaca's waiting Ithaca's waiting
The Troy Saga,Full Speed Ahead,All,And Ithaca's waiting Ithaca's waiting
The Troy Saga,Full Speed Ahead,Odysseus,My kingdom is waiting The kingdom is waiting
The Troy Saga,Full Speed Ahead,Soldiers,My kingdom is waiting The kingdom is waiting
The Troy Saga,Full Speed Ahead,All,My kingdom is waiting The kingdom is waiting
The Troy Saga,Full Speed Ahead,Odysseus,Penelope's waiting for me
The Troy Saga,Full Speed Ahead,Soldiers,Penelope's waiting for me
The Troy Saga,Full Speed Ahead,All,Penelope's waiting for me
The Troy Saga,Full Speed Ahead,Odysseus,"So full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,Soldiers,"So full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,All,"So full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,Eurylochus,"Captain, Eurylochus"
The Troy Saga,Full Speed Ahead,Soldiers,"Captain, Eurylochus"
The Troy Saga,Full Speed Ahead,Eurylochus,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,Soldiers,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,Eurylochus,"Six hundred men with big mouths to feed, and we've run out of supplies to eat"
The Troy Saga,Full Speed Ahead,Soldiers,"Six hundred men with big mouths to feed, and we've run out of supplies to eat"
The Troy Saga,Full Speed Ahead,Eurylochus,"Curse the war, our food store's depleted"
The Troy Saga,Full Speed Ahead,Soldiers,"Curse the war, our food store's depleted"
The Troy Saga,Full Speed Ahead,Eurylochus,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,Soldiers,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,Eurylochus,Six hundred reasons to take what we can
The Troy Saga,Full Speed Ahead,Soldiers,Six hundred reasons to take what we can
The Troy Saga,Full Speed Ahead,Eurylochus,"So captain, what's the plan?"
The Troy Saga,Full Speed Ahead,Soldiers,"So captain, what's the plan?"
The Troy Saga,Full Speed Ahead,Eurylochus,"Captain, what's the plan?"
The Troy Saga,Full Speed Ahead,Soldiers,"Captain, what's the plan?"
The Troy Saga,Full Speed Ahead,Odysseus,Watch where the birds fly
The Troy Saga,Full Speed Ahead,Soldiers,Watch where the birds fly
The Troy Saga,Full Speed Ahead,All,Watch where the birds fly
The Troy Saga,Full Speed Ahead,Odysseus,Watch where the birds fly
The Troy Saga,Full Speed Ahead,Soldiers,Watch where the birds fly
The Troy Saga,Full Speed Ahead,All,Watch where the birds fly
The Troy Saga,Full Speed Ahead,Odysseus,They will lead us to land
The Troy Saga,Full Speed Ahead,Soldiers,They will lead us to land
The Troy Saga,Full Speed Ahead,All,They will lead us to land
The Troy Saga,Full Speed Ahead,Odysseus,They will lead us to land
The Troy Saga,Full Speed Ahead,Soldiers,They will lead us to land
The Troy Saga,Full Speed Ahead,All,They will lead us to land
The Troy Saga,Full Speed Ahead,Odysseus,"There we'll hunt for food, my second in command"
The Troy Saga,Full Speed Ahead,Soldiers,"There we'll hunt for food, my second in command"
The Troy Saga,Full Speed Ahead,All,"There we'll hunt for food, my second in command"
The Troy Saga,Full Speed Ahead,Odysseus,"Now full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,Soldiers,"Now full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,All,"Now full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,Eurylochus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Eurylochus,"We're up, we're off, and away we go (Full speed ahead)"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and away we go (Full speed ahead)"
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and away we go (Full speed ahead)"
The Troy Saga,Full Speed Ahead,Eurylochus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Polites,Captain
The Troy Saga,Full Speed Ahead,Odysseus,Polites!
The Troy Saga,Full Speed Ahead,Polites,"Look! There in the distance, I see an island"
The Troy Saga,Full Speed Ahead,Polites,I see a light that faintly glows
The Troy Saga,Full Speed Ahead,Polites,Maybe they're people lighting a fire
The Troy Saga,Full Speed Ahead,Polites,"Maybe they'll share some food, who knows?"
The Troy Saga,Full Speed Ahead,Odysseus,Something feels off here
The Troy Saga,Full Speed Ahead,Odysseus,I see fire but there's no smoke
The Troy Saga,Full Speed Ahead,Eurylochus,"I say we strike first, we don't have time to waste"
The Troy Saga,Full Speed Ahead,Eurylochus,So let's raid the place and...
The Troy Saga,Full Speed Ahead,Odysseus,No
The Troy Saga,Full Speed Ahead,Odysseus,"Polites gear up, you and I'll go ahead"
The Troy Saga,Full Speed Ahead,Polites,You and I'll go ahead
The Troy Saga,Full Speed Ahead,Odysseus,We should try to find a way no one ends up dead
The Troy Saga,Full Speed Ahead,Eurylochus,We don't know what's ahead
The Troy Saga,Full Speed Ahead,Odysseus,"Give me 'til sunrise, and if we don't return"
The Troy Saga,Full Speed Ahead,Soldiers,"Give me 'til sunrise, and if we don't return"
The Troy Saga,Full Speed Ahead,All,"Give me 'til sunrise, and if we don't return"
The Troy Saga,Full Speed Ahead,Odysseus,Then six hundred men can make this whole place burn
The Troy Saga,Full Speed Ahead,Soldiers,Then six hundred men can make this whole place burn
The Troy Saga,Full Speed Ahead,All,Then six hundred men can make this whole place burn
The Troy Saga,Full Speed Ahead,Odysseus,Now full speed ahead
The Troy Saga,Full Speed Ahead,Soldiers,Now full speed ahead
The Troy Saga,Full Speed Ahead,All,Now full speed ahead
The Troy Saga,Full Speed Ahead,Odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,Soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,All,Full speed ahead
The Troy Saga,Full Speed Ahead,Odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,Soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,All,Full speed ahead
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,All,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,All,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,Soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,All,Full speed ahead
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,All,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,Odysseus,"We're up, we're off, and a-"
The Troy Saga,Full Speed Ahead,Soldiers,"We're up, we're off, and a-"
The Troy Saga,Full Speed Ahead,All,"We're up, we're off, and a-"
The Troy Saga,Full Speed Ahead,Odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,Soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,All,Full speed ahead
The Troy Saga,Open Arms,Polites,"You can relax, my friend"
The Troy Saga,Open Arms,Odysseus,Huh?
The Troy Saga,Open Arms,Polites,I can tell you're getting nervous
The Troy Saga,Open Arms,Polites,So do yourself a service
The Troy Saga,Open Arms,Polites,And try to relax my friend
The Troy Saga,Open Arms,Odysseus,"I'm fine, Polites"
The Troy Saga,Open Arms,Polites,Think of all that we have been through
The Troy Saga,Open Arms,Polites,We'll survive what we get into
The Troy Saga,Open Arms,Polites,I know that you're tired of the war and bloodshed
The Troy Saga,Open Arms,Polites,"Tell me, is this how we're supposed to live?"
The Troy Saga,Open Arms,Polites,"Look at how you grip your sword, enough said"
The Troy Saga,Open Arms,Polites,Why should we take when we could give?
The Troy Saga,Open Arms,Polites,You could show a person that you trust them
The Troy Saga,Open Arms,Polites,When you stop and lower your guard
The Troy Saga,Open Arms,Polites,Here we have a chance for some adjustment
The Troy Saga,Open Arms,Polites,"Give it a try, it's not that hard"
The Troy Saga,Open Arms,Polites,I'm telling you
The Troy Saga,Open Arms,Polites,This life is amazing when you greet it with open arms
The Troy Saga,Open Arms,Polites,"Whatever we face, we'll be fine if we're leading from the heart"
The Troy Saga,Open Arms,Polites,"No matter the place, we can light up the world"
The Troy Saga,Open Arms,Polites,Here's how to start:
The Troy Saga,Open Arms,Polites,Greet the world with open arms
The Troy Saga,Open Arms,Polites,Greet the world with open arms
The Troy Saga,Open Arms,Lotus Eaters,Welcome
The Troy Saga,Open Arms,Odysseus,Stay back
The Troy Saga,Open Arms,Lotus Eaters,Stay back
The Troy Saga,Open Arms,Polites,"My friend, greet the world with open arms"
The Troy Saga,Open Arms,Odysseus,We're only here for food
The Troy Saga,Open Arms,Lotus Eaters,Food
The Troy Saga,Open Arms,Odysseus,Six hundred friends are waiting for us to show our faces
The Troy Saga,Open Arms,Lotus Eaters,Food
The Troy Saga,Open Arms,Odysseus,"Stay back, I'm warning you"
The Troy Saga,Open Arms,Lotus Eaters,Food (Num num num)
The Troy Saga,Open Arms,Odysseus,"If we don't get back safely, my men will turn this place into blazes"
The Troy Saga,Open Arms,Lotus Eaters,Here you go
The Troy Saga,Open Arms,Polites,See? This life is amazing when you greet it with open arms
The Troy Saga,Open Arms,Polites,"Whatever we face, we'll be fine if we're leading from the heart"
The Troy Saga,Open Arms,Polites,"No matter the place, we can light up the world"
The Troy Saga,Open Arms,Polites,Here's how to start:
The Troy Saga,Open Arms,Polites,Greet the world with open arms
The Troy Saga,Open Arms,Polites,Greet the world with open arms
The Troy Saga,Open Arms,Odysseus,"My friend, I wish that I could say that I agree"
The Troy Saga,Open Arms,Odysseus,But look at the way this fruit is glowing and filled with glowing seeds
The Troy Saga,Open Arms,Odysseus,It took me a while to notice just what kind of fruit they eat
The Troy Saga,Open Arms,Odysseus,"It's a lotus, it controls your mind and never lets you free"
The Troy Saga,Open Arms,Odysseus,That's what we'd get with open arms
The Troy Saga,Open Arms,Polites,"Lotus eaters, I'd like to show my friend that kindness is brave"
The Troy Saga,Open Arms,Polites,Could you tell me where there's other food to eat?
The Troy Saga,Open Arms,Lotus Eaters,The cave (Scary cave)
The Troy Saga,Open Arms,Polites,A cave! You're saying there's a cave where we could feast?
The Troy Saga,Open Arms,Polites,And where do we sail to find this food-filled cave?
The Troy Saga,Open Arms,Lotus Eaters,East (That way)
The Troy Saga,Open Arms,Polites,Thank you!
The Troy Saga,Open Arms,Lotus Eaters,Welcome
The Troy Saga,Open Arms,Polites,This life is amazing when you greet it with open arms
The Troy Saga,Open Arms,Polites,"I see in your face, there is so much guilt inside your heart"
The Troy Saga,Open Arms,Polites,So why not replace it and light up the world
The Troy Saga,Open Arms,Polites,Here's how to start:
The Troy Saga,Open Arms,Polites,Greet the world with open arms
The Troy Saga,Open Arms,Polites,Greet the world with open arms
The Troy Saga,Open Arms,Odysseus,Greet the world with open arms
The Troy Saga,Open Arms,Polites,"You can relax, my friend"
The Troy Saga,Warrior of the Mind,Athena,Have you forgotten the lessons I taught you?
The Troy Saga,Warrior of the Mind,Odysseus,Athena!
The Troy Saga,Warrior of the Mind,Athena,Have you forgotten to turn off your heart? This is not you
The Troy Saga,Warrior of the Mind,Athena,I see you changing from how I've designed you
The Troy Saga,Warrior of the Mind,Athena,Have you forgotten your purpose? Let me remind you
The Troy Saga,Warrior of the Mind,Athena,"Goddess of wisdom, master of war"
The Troy Saga,Warrior of the Mind,Athena,"My life has one mission, create the greatest warrior"
The Troy Saga,Warrior of the Mind,Athena,"I had a challenge, a test of skill"
The Troy Saga,Warrior of the Mind,Athena,A magic boar only the best could kill
The Troy Saga,Warrior of the Mind,Athena,One day a boy came for the thrill
The Troy Saga,Warrior of the Mind,Athena,A boy whose mind rivalled the boar's own will
The Troy Saga,Warrior of the Mind,Odysseus,Let's go!
The Troy Saga,Warrior of the Mind,Athena,Maybe one day he'll follow me
The Troy Saga,Warrior of the Mind,Athena,"And w?'ll make a greater tomorrow, th?n they'll see"
The Troy Saga,Warrior of the Mind,Athena,I know he'll change the world
The Troy Saga,Warrior of the Mind,Athena,'Cause he is a warrior of the mind
The Troy Saga,Warrior of the Mind,Athena,Maybe one day I'll reach him
The Troy Saga,Warrior of the Mind,Athena,And we can build his skills as I teach him
The Troy Saga,Warrior of the Mind,Athena,"If there's a problem, he'll have the answer"
The Troy Saga,Warrior of the Mind,Athena,He is a warrior of the mind
The Troy Saga,Warrior of the Mind,Odysseus,Show yourself
The Troy Saga,Warrior of the Mind,Odysseus,I know you're watching me
The Troy Saga,Warrior of the Mind,Odysseus,Show yourself
The Troy Saga,Warrior of the Mind,Odysseus,I can see you
The Troy Saga,Warrior of the Mind,Athena,How can you see through my spell?
The Troy Saga,Warrior of the Mind,Odysseus,Haha! I was lying and you fell for my bluff
The Troy Saga,Warrior of the Mind,Odysseus,Hahahaha
The Troy Saga,Warrior of the Mind,Athena,"Well done, enlighten me, what's your name?"
The Troy Saga,Warrior of the Mind,Odysseus,"You first, and maybe I'll do the same"
The Troy Saga,Warrior of the Mind,Athena,"Nice try, but two can play this game"
The Troy Saga,Warrior of the Mind,Odysseus,"Nah, don't be modest"
The Troy Saga,Warrior of the Mind,Ensemble,"Nah, don't be modest"
The Troy Saga,Warrior of the Mind,Odysseus,I know you're a goddess
The Troy Saga,Warrior of the Mind,Ensemble,I know you're a goddess
The Troy Saga,Warrior of the Mind,Odysseus,So let's be honest
The Troy Saga,Warrior of the Mind,Ensemble,So let's be honest
The Troy Saga,Warrior of the Mind,Odysseus,You are Athena (Athena)
The Troy Saga,Warrior of the Mind,Ensemble,You are Athena (Athena)
The Troy Saga,Warrior of the Mind,Odysseus,Badass in the arena
The Troy Saga,Warrior of the Mind,Ensemble,Badass in the arena
The Troy Saga,Warrior of the Mind,Odysseus,"Unmatched, witty, and queen of"
The Troy Saga,Warrior of the Mind,Ensemble,"Unmatched, witty, and queen of"
The Troy Saga,Warrior of the Mind,Odysseus,The best strategies we've seen
The Troy Saga,Warrior of the Mind,Ensemble,The best strategies we've seen
The Troy Saga,Warrior of the Mind,Athena,"If you're looking for a mentor, I'll make sure your time's well spent"
The Troy Saga,Warrior of the Mind,Odysseus,Sounds like a plan
The Troy Saga,Warrior of the Mind,Odysseus,Goddess and man
The Troy Saga,Warrior of the Mind,Odysseus,Bestest of friends
The Troy Saga,Warrior of the Mind,Athena,We'll see where it ends
The Troy Saga,Warrior of the Mind,Odysseus,Okay
The Troy Saga,Warrior of the Mind,Athena,Maybe one day they'll follow me and we'll
The Troy Saga,Warrior of the Mind,Odysseus,"Make a greater tomorrow, then they'll see"
The Troy Saga,Warrior of the Mind,Athena,"Make a greater tomorrow, then they'll see"
The Troy Saga,Warrior of the Mind,Odysseus,I know we'll change the world
The Troy Saga,Warrior of the Mind,Athena,I know we'll change the world
The Troy Saga,Warrior of the Mind,Odysseus,'Cause we are the warriors of the mind
The Troy Saga,Warrior of the Mind,Athena,'Cause we are the warriors of the mind
The Troy Saga,Warrior of the Mind,Odysseus,Maybe one day we'll reach them
The Troy Saga,Warrior of the Mind,Athena,Maybe one day we'll reach them
The Troy Saga,Warrior of the Mind,Odysseus,And we can build their skills as we teach them
The Troy Saga,Warrior of the Mind,Athena,And we can build their skills as we teach them
The Troy Saga,Warrior of the Mind,Odysseus,"If there's a problem, we'll have the answer"
The Troy Saga,Warrior of the Mind,Athena,"If there's a problem, we'll have the answer"
The Troy Saga,Warrior of the Mind,Odysseus,We are the warriors of the mind
The Troy Saga,Warrior of the Mind,Athena,We are the warriors of the mind
The Troy Saga,Warrior of the Mind,Athena,I still intend to make sure you don't fall behind
The Troy Saga,Warrior of the Mind,Athena,Don't forget that you're a warrior of a very special kind
The Troy Saga,Warrior of the Mind,Athena,You are a warrior of the mind
The Troy Saga,Warrior of the Mind,Athena,Don't disappoint me
The Cyclops Saga,Polyphemus,Odysseus,Over here!
