saga,song,character,lines
The Cyclops Saga,Survive,Odysseus,"My brothers

The rest of our fleet

They wait at the beach

And if we're defeated, they’re good as dead

Straight ahead, that is who we're fighting

No backup, no chance for support

So draw out your swords

Our foe must be thwarted right here and now

Show me how great is your will to survive

Six hundred lives at stake

It's just one life to take

And when we kill him then our journey’s over

No dying on me now

Defeat is not allowed

We must live through this day so

Fight, fight, fight

Surround him, surround him

Attack from behind, keep distance in mind

And stay in his blindspot and strike his heels, strike the heels

Show him that we're deadly, ha, ha

Exhaust him, exhaust him

Don't let him get close, he's strong but he's slow

He can't land a blow if we're out of reach

Find a breach

Stand up and fight for your lives

Six hundred lives at stake

It's just one life to take

And when we kill him then our journey’s over

Push forward

No dying on us now

Defeat is not allowed

We must live through this day so

Fight, fight, fight"
The Cyclops Saga,Survive,Soldiers,"No backup, no chance for support

So draw out your swords

Our foe must be thwarted right here and now

Show me how great is your will to survive

Six hundred lives at stake

It's just one life to take

And when we kill him then our journey’s over

No dying on me now

Defeat is not allowed

We must live through this day so

Fight, fight, fight

Surround him, surround him

Attack from behind, keep distance in mind

And stay in his blindspot and strike his heels, strike the heels

Show him that we're deadly, ha, ha

Exhaust him, exhaust him

Don't let him get close, he's strong but he's slow

He can't land a blow if we're out of reach

Find a breach

Stand up and fight for your lives

Six hundred lives at stake

It's just one life to take

And when we kill him then our journey’s over

Push forward

No dying on us now

Defeat is not allowed

We must live through this day so

Fight, fight, fight"
The Cyclops Saga,Survive,Polites,Captain…
The Cyclops Saga,Survive,Polyphemus,"Enough

You’ve hurt me enough

Six hundred lives I'll take

Six hundred lives I'll break

And when I kill you then my pain is over

You're dying here and now

Escape is not allowed

You won’t live through this day now die

Die..."
The Ithaca Saga,I Can’t Help But Wonder,Telemachus,"Father?

All my life, I'd have died to meet you

Thought about your name so much it hurts

For twenty years I'd dreamt of how I'd greet you

Oh, and now you're here

I can't find the words

All my life I'd have died to know you

Days and nights I wish that I could show you

For twenty years I never could outgrow you

Oh, and now you're here

I can't help but wonder

What your world must be

If we're like each other

If I have your strength in me

I can't help but feel like

Sorrow's all I've known

And I can't help but realize

For so long I've felt alone"
The Ithaca Saga,I Can’t Help But Wonder,Odysseus,"Oh my son, look how much you've grown

Oh my boy, the sweetest joy I've known

Twenty years ago I held you in my arms

How time has flown, oh

Used to say I'd make the storm clouds cry for you

Used to say I'd capture wind and sky for you

Held you in my arms prepared to die for you, oh

How times has flown

I can only wonder

What your world has been

Things you've had to suffer

And the strength you hold within

All I've ever wanted

Was to reunite with my own

20 years we've wandered

But today you're not alone

My son, I'm finally home!"
The Ithaca Saga,Odysseus,Suitors,"In the heat of battle at the edge of the unknown

Somewhere in the shadows lurks an agile deadly foe

We have the advantage, we've the numbers and the might

No, you don't understand it. This man plans for every fight

Where is he? Where is he?

Keep your head down, he's aiming for the torches

Our weapons, they're missing!

He's using the darkness to hide his approaches

We're empty handed up against an archer

Our only chance is to strike him in the darkness

We know these halls, the odds can be tilted"
The Ithaca Saga,Odysseus,Odysseus,"You don't think I know my own palace?

I built it"
The Ithaca Saga,The Challenge,Penelope,"I'm supposed to choose a suitor to wear the crown

I said I would choose as soon as I weave this shroud

They don't know

That every night

I unthread all the work I've done

Cause I'd rather lie Than allow them to think they've won

Though I never thought I would resort to this

Just know I'll be here

Though I don't know how much longer I'll last

Since we saw that storm

And though it was so close to our kingdom

It was far from the norm

Unless

Oh, could it be some kind of sign

That my world is all about to change?

Is it finally time for the challenge I arranged?

Though I never thought that it would come to this

Just know I'll be here buying you time

Oh! Buying you time

Whoever can string my husband's old bow

And shoot through 12 axes cleanly

Will be the new king, sit down at the throne

And rule with me as their queen

Let the arrow fly

Once you know that your aim is true

Cause I'd rather die than grow old without the best of you

Though I never thought that these would be the lengths we'd go for love

I would not have it any other way

And though I never thought that it would end like this

Just know, I'll be here

Waiting, waiting

Waiting, waiting

Waiting, waiting

Oh"
The Ithaca Saga,The Challenge,Suitors,"Penelope

Penelope"
The Ithaca Saga,Would You Fall In Love With Me Again,Penelope,"Is it you? Have my prayers been answered?

Is it really you standing there, or am I dreaming once more?

You look different, your eyes look tired

Your frame is lighter, your smile torn

Is it really you, my love?

What kinds of things did you do?

If that's true, could you do me a favor?

Just a moment of labor that would bring me some peace

See that wedding bed? Could you carry it over?

Lift it high on your shoulders and take it far away from here

Only my husband knew that

So I guess that makes him you

I will fall in love with you over and over again

I don't care how, where, or when

No matter how long it's been, you're mine

Don't tell me you're not the same person

You're always my husband, and I've been waiting, waiting

Waiting, waiting (Penelope)

Waiting, waiting

Waiting, oh

For you

How long has it been?

I love you"
The Ocean Saga,Keep Your Friends Close,Odysseus,"Great wind god, Aeolus

I don't know if you know this

But our path to home is blocked by an impenetrable storm

I ask for your assistance

So we at last can go the distance

Can you cast the perfect winds for us and aid our journey home?

A game?

Deal

Sounds too easy, what's the catch?

What?

Something dangerous, friends

We mustn't lag

What?

No, do not

Everybody listen closely

See how this bag is closed?

That's how it's supposed to be

This bag has the storm inside

We cannot let the treasure rumor fly

For nine days, I've stayed wide awake

Trying to make it home with no storm or tidal wave

I remain unopposed, the bag is still closed

And I'm getting closer to you

I can't wait to make some new memories

Time for me to be the father I never was

Why are my eyes and my heart and my soul so heavy?

I keep on trying to embrace you both

Why won't you let me?

So much has changed but I'm the same

Yes I'm the same

No!

Where's the storm taking us?

Help me close the bag

We can save whatever wind is left to use another day

Come on!"
The Ocean Saga,Keep Your Friends Close,Crew,"Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Now they wanna get the bag open so they can have closure

Sometimes sneaking is a must

Sometimes sneaking is a must

'Cause the end always justifies the means

Everything's changed since Polites, so

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Penelope

Telemachus

Keep your friends close and your enemies closer

Never really know who you can trust

Never really know who you can trust

Storm

Full speed ahead

Storm, storm"
The Ocean Saga,Keep Your Friends Close,Penelope,"Just keep your eyes open

Just keep your eyes open

Just keep your eyes open

Just keep your eyes open

Wake up!

Wake up, Odysseus, they're opening the bag

Wake up!"
The Ocean Saga,Keep Your Friends Close,Telemachus,"Just keep your eyes open

Just keep your eyes open

Just keep your eyes open

Just keep your eyes open"
The Ocean Saga,Keep Your Friends Close,Ensemble,Just keep your eyes open
The Ocean Saga,Keep Your Friends Close,Eurylochus,"But sir, it's too late"
The Ocean Saga,Luck Runs Out,Eurylochus,"Please don't tell me you're about to do what I think you'll do

We don't know for sure

And what's your plan?

You could be caught off guard and lose your life

Or piss off this god and infuse us with strife

Don't forget how dangerous the gods are

Yes, but how much longer til your luck runs out?

How much longer 'til the show goes south?

How much longer 'til we all fall down?

You rely on wit, and people die on it, woah

And what will we do when it tears us apart?

I just don't wanna see another life end

You're like the brother I could never do without

Captain, how much longer til your luck runs out?

How much longer 'til the show goes south?

How much longer 'til we all fall down?

You rely on wit, and people die on it, woah

How much longer 'til the snake breaks free?

How much longer 'til your great days cease?

How much longer 'til your strength takes leave?

You rely on wit, and people die on it, woah

Okay"
The Ocean Saga,Luck Runs Out,Odysseus,"You've heard the?legends?of the island?in the sky, this proves they're?true

We're in the home of the wind god

How many floating islands have you seen before?

This is the home of the wind god

I'm gonna climb to the top and ask 'em for a hand

Have faith, friend, we've come this far

I still believe in goodness

I still believe that we could be kind

Lead from the heart, and see what starts

Where is this coming from, my friend?

And suddenly you doubt that I could figure this out?

Thank you for the concern but brother I can assure you

Our journey is almost done

I understand that we're tired

I understand that we're fazed

But don't forget how much we've already faced

I took six hundred men to war and not one of them died there

In case you needed a reminder

If you'd like to speak more, let me pull you aside then

I need to talk to you in private

I can't have you planting seeds of doubt

I can't have you disagreeing each route

I need you to always be devout and comply with this

Or we'll all die in this

Okay?

Thank you"
The Ocean Saga,Luck Runs Out,Crew,"Yes, but how much longer til your luck runs out?

How much longer 'til the show goes south?

How much longer 'til we all fall down?

You rely on wit, and people die on it, woah

Captain, how much longer til your luck runs out?

How much longer 'til the show goes south?

How much longer 'til we all fall down?

You rely on wit, and people die on it, woah

How much longer 'til the snake breaks free?

How much longer 'til your great days cease?

How much longer 'til your strength takes leave?

You rely on wit, and people die on it, woah"
The Ocean Saga,Ruthlessness,Odysseus,"Poseidon

No

Poseidon, we meant no harm

We only hurt him to disarm him

We took no pleasure in his pain

We only wanted to escape

What have you done?

All I gotta do is open this bag"
The Ocean Saga,Ruthlessness,Poseidon,"In all my years of living

It isn't very often that I get pissed off

I try to chill with the waves

But damn, you crossed the line

I've been so gracious

And yet, you hurt the son of mine

That's right, the cyclops you made blind, is mine

I'm left without a choice

And without a doubt

Guess the pack of wolves is swimming with the shark now

I've gotta make you bleed

I need to see you drown

But before you go, I need to make you learn how

Ruthlessness is mercy upon ourselves

Ruthl?ssness is mercy upon ourselv?s

Ruthlessness is mercy upon ourselves

Ourselves

You are the worst kind of good

'Cause you're not even great

A Greek who reeks of false righteousness

That's what I hate

'Cause you fight to save lives

But won't kill and don't get the job done

I mean you totally could have avoided all this

Had you just killed my son

But no

You are far too nice

Mercy has a price

It's the final crack, we're about to break the ice now

You reveal your name

Then you let him live

Unlike you I've got no mercy left to give 'cause

Ruthlessness is mercy upon ourselves

Ruthlessness is mercy upon ourselves

Ruthlessness is mercy upon ourselves

Ourselves

And now it is finally time

To say goodbye

Today, you die

Unless, of course, you apologize

For my son's pain

And all his cries

The line between naïveté and

Hopefulness is almost invisible

So close your heart

The world is dark and

Die

Forty three left under your command

I am your darkest moment

The monster that always draws near

Any last words?

What?

Remember me"
The Ocean Saga,Ruthlessness,Soldiers,"Ruthlessness is (Captain) mercy upon our- Captain

Ruthlessness is (Captain) mercy upon our- Captain

Ruthlessness is (Captain) mercy upon our- Captain

Ruthlessness is (Captain)"
The Ocean Saga,Ruthlessness,Ensemble,"When does a ripple become a tidal wave?

When does a man become a monster?"
The Ocean Saga,Storm,Soldiers,"Sir!

Brace for a storm

Storm

The likes of which we've never seen before

Brace for a storm

Storm

With home so close, we must keep pushing forward

Full speed ahead

Storm

Storm

We'll beat this storm

Storm

Storm, storm

Storm, storm

Storm, storm"
The Thunder Saga,Different Beast,Soldiers,"We are a different beast now

We ar? the ones who feast now

No mor? of us decease, 'cause we won't take more suffering from you

We are the man-made monsters

We are the ones who conquer

You are a threat no longer

We won't take more suffering from you

We are a different beast now

We are the ones who feast now

No more of us decease, 'cause we won't take more suffering from you

We are the man-made monsters

We are the ones who conquer

You are a threat no longer

We won't take more suffering from you

He is a different beast now

He is the one who feasts now

No more of us deceased, 'cause he won't take more suffering from you

He is the man-made monster

He is the one who conquers

You are a threat no longer

He won't take more suffering from you

Oh, woah-oh-oh, oh woah-oh-oh, oh, woah-oh-oh

Oh, woah-oh-oh, oh woah-oh-oh, oh, woah-oh-oh

Oh, woah-oh-oh, oh woah-oh-oh, oh, woah-oh-oh

Oh, woah-oh-oh, oh woah-oh-oh, oh, woah-oh-oh

Odysseus"
The Thunder Saga,Mutiny,Eurylochus,"How much longer must we suffer now?

How much longer must we push through doubt?

How much longer must we go about

Our lives like this when people die like this?

Woah

When we fought the cyclops, you were quick to hatch a plan

And when we fought with Circe, it was you who left behind no man

But when we fought this monster, we didn't take a stand

We just ran

Say something

Then you have forced my hand

No can do

You miss your wife so bad you trade the lives of your own crew

If you want all the power, you must carry all the blame"
The Thunder Saga,Mutiny,Soldiers,"How much longer must we suffer now?

How much longer must we push through doubt?

How much longer must we go about

Our lives like this when people die like this?

Woah

Eurylochus, Eurylochus, Eurylochus

Odysseus, Odysseus, Odysseus

There is no price he won't pay"
The Thunder Saga,Mutiny,Odysseus,"I can't

Lower your weapon

Don't make m? fight you, brother, you know you'd have done th? same

I am not letting you get in my way"
The Thunder Saga,Scylla,Odysseus,Row for your lives!
The Thunder Saga,Suffering,Ensemble,"Penelope (Ah, oh)

Penelope (Ah, oh)"
The Thunder Saga,Suffering,Penelope,"Don’t you miss me?

Then jump in the water and kiss me

I’ll make sure that you are safe and sound

Come play with me and our daughter and let’s watch our love leave the ground

I would take the suffering from you

I could take the suffering from you

I will take the suffering from you

Of course!

Oh no!

He will chase you high and low

So find a place he’d never go

The one way you'll get home

Is sailing where he's scared to roam, oh

It’s through the lair of Scylla

This is your only way home

The lair of Scylla

Well, you asked and now you know

Now jump in the water!

I would take the suffering from you

I could take the suffering from you

I will take the suffering from you"
The Thunder Saga,Thunder Bringer,Zeus,"Pride is a damsel in distress

Hiding away where only I can undress her

Try all she can not to confess

In the end, it's all the same once I apply all the pressure

Thunder, bring her through the wringer

Show her I'm the judgment call

The one who makes her kingdom fall

Lightning, wield her, use and yield her

Show her what she can't conceal

For true nature will be revealed

Tell me, Odysseus, If I were to make you choose

The lives of your men and crew or your own

Why do I think they'd lose?

Enlighten me, King of Ithaca

Since hunger was far too great

I wonder who'd take the weight of the damned

And suffer a gruesome fate to the

Thunder Bringer, here to ring your

Ears until your deaf with fear and

Spear you while your death is near

Lighting wielder, here to yield your

Time for you have passed your prime

Sublime you for your act of crime"
The Troy Saga,Full Speed Ahead,Soldiers,"Six hundred men, six hundred men under my command

With only one goal in mind

Make it back alive to our homeland

Six hundred men, six hundred miles of open sea

But the problem's not the distance

It's what lies in between

And Ithaca's waiting Ithaca's waiting

My kingdom is waiting The kingdom is waiting

Penelope's waiting for me

So full speed ahead, full speed ahead

Captain, Eurylochus

Six hundred men Six hundred men

Six hundred men with big mouths to feed, and we've run out of supplies to eat

Curse the war, our food store's depleted

Six hundred men Six hundred men

Six hundred reasons to take what we can

So captain, what's the plan?

Captain, what's the plan?

Watch where the birds fly

Watch where the birds fly

They will lead us to land

They will lead us to land

There we'll hunt for food, my second in command

Now full speed ahead, full speed ahead

We're up, we're off, and away we go

We're up, we're off, and away we go (Full speed ahead)

We're up, we're off, and away we go

Give me 'til sunrise, and if we don't return

Then six hundred men can make this whole place burn

Now full speed ahead

Full speed ahead

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and away we go

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and a-

Full speed ahead"
The Troy Saga,Full Speed Ahead,All,"Six hundred men, six hundred men under my command

With only one goal in mind

Make it back alive to our homeland

Six hundred men, six hundred miles of open sea

But the problem's not the distance

It's what lies in between

And Ithaca's waiting Ithaca's waiting

My kingdom is waiting The kingdom is waiting

Penelope's waiting for me

So full speed ahead, full speed ahead

Watch where the birds fly

Watch where the birds fly

They will lead us to land

They will lead us to land

There we'll hunt for food, my second in command

Now full speed ahead, full speed ahead

Give me 'til sunrise, and if we don't return

Then six hundred men can make this whole place burn

Now full speed ahead

Full speed ahead

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and away we go

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and a-

Full speed ahead"
The Troy Saga,Full Speed Ahead,Eurylochus,"Six hundred men, six hundred men under my command

With only one goal in mind

Make it back alive to our homeland

Six hundred men, six hundred miles of open sea

But the problem's not the distance

It's what lies in between

And Ithaca's waiting Ithaca's waiting

My kingdom is waiting The kingdom is waiting

Penelope's waiting for me

So full speed ahead, full speed ahead

Captain, Eurylochus

Six hundred men Six hundred men

Six hundred men with big mouths to feed, and we've run out of supplies to eat

Curse the war, our food store's depleted

Six hundred men Six hundred men

Six hundred reasons to take what we can

So captain, what's the plan?

Captain, what's the plan?

Watch where the birds fly

Watch where the birds fly

They will lead us to land

They will lead us to land

There we'll hunt for food, my second in command

Now full speed ahead, full speed ahead

We're up, we're off, and away we go

We're up, we're off, and away we go (Full speed ahead)

We're up, we're off, and away we go

I say we strike first, we don't have time to waste

So let's raid the place and...

We don't know what's ahead

Give me 'til sunrise, and if we don't return

Then six hundred men can make this whole place burn

Now full speed ahead

Full speed ahead

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and away we go

Full speed ahead

We're up, we're off, and away we go

We're up, we're off, and a-

Full speed ahead"
The Troy Saga,Just A Man,Odysseus,"I look into your eyes and I

Think back to the son of mine

You're as old as he was when I left for war

Will these actions haunt my days

Every man I’ve slain?

Is the price I pay endless pain?

Close your eyes and spare yourself the view

How could I hurt you??

I'm just a man who's trying to go home

Even after all the years away from what I’ve known

I'm just a man who's fighting for his life

Deep down I would trade the world to see my son and wife

I'm just a man

But when does a comet become a meteor?

When does a candl? become a blaze?

Wh?n does a man become a monster?

When does a ripple become a tidal wave?

When does the reason become the blame?

When does a man become a monster?

When does a comet become a meteor?

When does a candle become a blaze? Forgive me

When does a man become a monster? Forgive me

When does a man become a monster? Forgive me

I'm just a man"
The Troy Saga,Just A Man,Crew,"I look into your eyes and I

Think back to the son of mine

You're as old as he was when I left for war

Will these actions haunt my days

Every man I’ve slain?

Is the price I pay endless pain?

Close your eyes and spare yourself the view

How could I hurt you??

I'm just a man who's trying to go home

Even after all the years away from what I’ve known

I'm just a man who's fighting for his life

Deep down I would trade the world to see my son and wife

I'm just a man

But when does a comet become a meteor?

When does a candl? become a blaze?

Wh?n does a man become a monster?

When does a ripple become a tidal wave?

When does the reason become the blame?

When does a man become a monster?

When does a comet become a meteor?

When does a candle become a blaze? Forgive me

When does a man become a monster? Forgive me

When does a man become a monster? Forgive me

I'm just a man"
The Troy Saga,Open Arms,Polites,"You can relax, my friend

I can tell you're getting nervous

So do yourself a service

And try to relax my friend

Think of all that we have been through

We'll survive what we get into

I know that you're tired of the war and bloodshed

Tell me, is this how we're supposed to live?

Look at how you grip your sword, enough said

Why should we take when we could give?

You could show a person that you trust them

When you stop and lower your guard

Here we have a chance for some adjustment

Give it a try, it's not that hard

I'm telling you

This life is amazing when you greet it with open arms

Whatever we face, we'll be fine if we're leading from the heart

No matter the place, we can light up the world

Here's how to start:

Greet the world with open arms

Greet the world with open arms

My friend, greet the world with open arms

See? This life is amazing when you greet it with open arms

Whatever we face, we'll be fine if we're leading from the heart

No matter the place, we can light up the world

Here's how to start:

Greet the world with open arms

Greet the world with open arms

Lotus eaters, I'd like to show my friend that kindness is brave

Could you tell me where there's other food to eat?

A cave! You're saying there's a cave where we could feast?

And where do we sail to find this food-filled cave?

Thank you!

This life is amazing when you greet it with open arms

I see in your face, there is so much guilt inside your heart

So why not replace it and light up the world

Here's how to start:

Greet the world with open arms

Greet the world with open arms

You can relax, my friend"
The Troy Saga,Open Arms,Odysseus,"Huh?

I'm fine, Polites

Stay back

We're only here for food

Six hundred friends are waiting for us to show our faces

Stay back, I'm warning you

If we don't get back safely, my men will turn this place into blazes

My friend, I wish that I could say that I agree

But look at the way this fruit is glowing and filled with glowing seeds

It took me a while to notice just what kind of fruit they eat

It's a lotus, it controls your mind and never lets you free

That's what we'd get with open arms

Greet the world with open arms"
The Troy Saga,The Horse and the Infant,Odysseus,"Alright, my brothers, listen closely

Tonight, we make the Trojans pay

Ten years of war, they killed us slowly

But now we'll be the ones who slay

Think of your wives and your children

Your families wonder where you've been

They're growing old, and yet you're still here

Do what I say and you'll see them again

Yes sir!

Diomedes will lead the charge

Agamemnon will flank the guards

Menelaus will let our mates through the gates to take the whole city at large

Teucer will shoot any ambush attack

And Little Ajax will stay back

Nestor, secure Helen and protect her

Neo, avenge your father, kill the brothers of Hector!

Find that inner strength now

Use that well of pride

Fight through every pain now

Ask yourself inside

What do you live for?

What do you try for?

What do you wish for?

What do you fight for?

Penelope...

Penelope...

And Telemachus

I fight for us, I fight for us

Penelope

Telemachus

I'm on my way

Attack!

Aargh

Who was that?

Tell me how

Say no more, I know that I'm ready

It's just an infant, it's just a boy, what sort of imminent threat does he pose that I cannot avoid?

I could raise him as my own (He will burn your house and throne)

Or send him far away from home (He'll find you wherever you go)

Make sure his past is never known (The gods will make it known)

I'd rather bleed for ya, down on my knees for ya (He's bringing you down on your knees for ya)

I'm begging, please

Oh, this is the will of the gods

Please don't make me do this, don't make me do this

All you can choose is whose"
