act,song,speaker,line
The Troy Saga,The Horse and the Infant,soldiers,And Little Ajax will stay back
The Troy Saga,The Horse and the Infant,odysseus,"Nestor, secure Helen and protect her"
The Troy Saga,The Horse and the Infant,soldiers,"Nestor, secure Helen and protect her"
The Troy Saga,The Horse and the Infant,odysseus,"Neo, avenge your father, kill the brothers of Hector!"
The Troy Saga,The Horse and the Infant,soldiers,"Neo, avenge your father, kill the brothers of Hector!"
The Troy Saga,The Horse and the Infant,soldiers,Yes sir!
The Troy Saga,The Horse and the Infant,odysseus,Find that inner strength now
The Troy Saga,The Horse and the Infant,odysseus,Use that well of pride
The Troy Saga,The Horse and the Infant,odysseus,Fight through every pain now
The Troy Saga,The Horse and the Infant,odysseus,Ask yourself inside
The Troy Saga,The Horse and the Infant,odysseus,What do you live for?
The Troy Saga,The Horse and the Infant,odysseus,What do you try for?
The Troy Saga,The Horse and the Infant,odysseus,What do you wish for?
The Troy Saga,The Horse and the Infant,odysseus,What do you fight for?
The Troy Saga,The Horse and the Infant,soldiers,What do you live for?
The Troy Saga,The Horse and the Infant,soldiers,What do you try for?
The Troy Saga,The Horse and the Infant,soldiers,What do you wish for?
The Troy Saga,The Horse and the Infant,soldiers,What do you fight for?
The Troy Saga,The Horse and the Infant,odysseus,Penelope...
The Troy Saga,The Horse and the Infant,odysseus,Penelope...
The Troy Saga,The Horse and the Infant,odysseus,And Telemachus
The Troy Saga,The Horse and the Infant,odysseus,"I fight for us, I fight for us"
The Troy Saga,The Horse and the Infant,soldiers,What do you live for?
The Troy Saga,The Horse and the Infant,odysseus,Penelope
The Troy Saga,The Horse and the Infant,soldiers,What do you try for?
The Troy Saga,The Horse and the Infant,odysseus,Telemachus
The Troy Saga,The Horse and the Infant,soldiers,What do you wish for?
The Troy Saga,The Horse and the Infant,odysseus,I'm on my way
The Troy Saga,The Horse and the Infant,soldiers,What do you fight for?
The Troy Saga,The Horse and the Infant,odysseus,Attack!
The Troy Saga,The Horse and the Infant,odysseus,Aargh
The Troy Saga,The Horse and the Infant,odysseus,Who was that?
The Troy Saga,The Horse and the Infant,zeus,"A vision of what is to come cannot be outrun, can only be dealt with right here and now"
The Troy Saga,The Horse and the Infant,odysseus,Tell me how
The Troy Saga,The Horse and the Infant,zeus,I don't think you're ready
The Troy Saga,The Horse and the Infant,zeus,"A mission to kill someone's son, a foe who won't run, unlike anyone you have faced before"
The Troy Saga,The Horse and the Infant,odysseus,"Say no more, I know that I'm ready"
The Troy Saga,The Horse and the Infant,zeus,I don't think you're ready
The Troy Saga,The Horse and the Infant,odysseus,"It's just an infant, it's just a boy, what sort of imminent threat does he pose that I cannot avoid?"
The Troy Saga,The Horse and the Infant,zeus,"This is the son of none other than Troy's very own prince Hector, know that he will grow from a boy to an avenger"
The Troy Saga,The Horse and the Infant,ensemble,"This is the son of none other than Troy's very own prince Hector, know that he will grow from a boy to an avenger"
The Troy Saga,The Horse and the Infant,zeus,One fuelled with rage as you're consumed by age
The Troy Saga,The Horse and the Infant,ensemble,One fuelled with rage as you're consumed by age
The Troy Saga,The Horse and the Infant,zeus,"If you don't end him now, you'll have no one left to save"
The Troy Saga,The Horse and the Infant,ensemble,"If you don't end him now, you'll have no one left to save"
The Troy Saga,The Horse and the Infant,zeus,You can say goodbye to
The Troy Saga,The Horse and the Infant,ensemble,You can say goodbye to
The Troy Saga,The Horse and the Infant,zeus,Penelope
The Troy Saga,The Horse and the Infant,ensemble,Penelope
The Troy Saga,The Horse and the Infant,zeus,You can say goodbye to Penelope
The Troy Saga,The Horse and the Infant,ensemble,You can say goodbye to Penelope
The Troy Saga,The Horse and the Infant,odysseus,I could raise him as my own (He will burn your house and throne)
The Troy Saga,The Horse and the Infant,zeus,I could raise him as my own (He will burn your house and throne)
The Troy Saga,The Horse and the Infant,odysseus,Or send him far away from home (He'll find you wherever you go)
The Troy Saga,The Horse and the Infant,zeus,Or send him far away from home (He'll find you wherever you go)
The Troy Saga,The Horse and the Infant,odysseus,Make sure his past is never known (The gods will make it known)
The Troy Saga,The Horse and the Infant,zeus,Make sure his past is never known (The gods will make it known)
The Troy Saga,The Horse and the Infant,odysseus,"I'd rather bleed for ya, down on my knees for ya (He's bringing you down on your knees for ya)"
The Troy Saga,The Horse and the Infant,zeus,"I'd rather bleed for ya, down on my knees for ya (He's bringing you down on your knees for ya)"
The Troy Saga,The Horse and the Infant,odysseus,"I'm begging, please"
The Troy Saga,The Horse and the Infant,zeus,"I'm begging, please"
The Troy Saga,The Horse and the Infant,odysseus,"Oh, this is the will of the gods"
The Troy Saga,The Horse and the Infant,zeus,"Oh, this is the will of the gods"
The Troy Saga,The Horse and the Infant,odysseus,"Please don't make me do this, don't make me do this"
The Troy Saga,The Horse and the Infant,zeus,"Please don't make me do this, don't make me do this"
The Troy Saga,The Horse and the Infant,zeus,The blood on your hands is something you won't lose
The Troy Saga,The Horse and the Infant,all,All you can choose is whose
The Troy Saga,Just A Man,odysseus,I look into your eyes and I
The Troy Saga,Just A Man,crew,I look into your eyes and I
The Troy Saga,Just A Man,odysseus,Think back to the son of mine
The Troy Saga,Just A Man,crew,Think back to the son of mine
The Troy Saga,Just A Man,odysseus,You're as old as he was when I left for war
The Troy Saga,Just A Man,crew,You're as old as he was when I left for war
The Troy Saga,Just A Man,odysseus,Will these actions haunt my days
The Troy Saga,Just A Man,crew,Will these actions haunt my days
The Troy Saga,Just A Man,odysseus,Every man I’ve slain?
The Troy Saga,Just A Man,crew,Every man I’ve slain?
The Troy Saga,Just A Man,odysseus,Is the price I pay endless pain?
The Troy Saga,Just A Man,crew,Is the price I pay endless pain?
The Troy Saga,Just A Man,odysseus,Close your eyes and spare yourself the view
The Troy Saga,Just A Man,crew,Close your eyes and spare yourself the view
The Troy Saga,Just A Man,odysseus,How could I hurt you??
The Troy Saga,Just A Man,crew,How could I hurt you??
The Troy Saga,Just A Man,odysseus,I'm just a man who's trying to go home
The Troy Saga,Just A Man,crew,I'm just a man who's trying to go home
The Troy Saga,Just A Man,odysseus,Even after all the years away from what I’ve known
The Troy Saga,Just A Man,crew,Even after all the years away from what I’ve known
The Troy Saga,Just A Man,odysseus,I'm just a man who's fighting for his life
The Troy Saga,Just A Man,crew,I'm just a man who's fighting for his life
The Troy Saga,Just A Man,odysseus,Deep down I would trade the world to see my son and wife
The Troy Saga,Just A Man,crew,Deep down I would trade the world to see my son and wife
The Troy Saga,Just A Man,odysseus,I'm just a man
The Troy Saga,Just A Man,crew,I'm just a man
The Troy Saga,Just A Man,odysseus,But when does a comet become a meteor?
The Troy Saga,Just A Man,crew,But when does a comet become a meteor?
The Troy Saga,Just A Man,odysseus,When does a candl? become a blaze?
The Troy Saga,Just A Man,crew,When does a candl? become a blaze?
The Troy Saga,Just A Man,odysseus,Wh?n does a man become a monster?
The Troy Saga,Just A Man,crew,Wh?n does a man become a monster?
The Troy Saga,Just A Man,odysseus,When does a ripple become a tidal wave?
The Troy Saga,Just A Man,crew,When does a ripple become a tidal wave?
The Troy Saga,Just A Man,odysseus,When does the reason become the blame?
The Troy Saga,Just A Man,crew,When does the reason become the blame?
The Troy Saga,Just A Man,odysseus,When does a man become a monster?
The Troy Saga,Just A Man,crew,When does a man become a monster?
The Troy Saga,Just A Man,odysseus,When does a comet become a meteor?
The Troy Saga,Just A Man,crew,When does a comet become a meteor?
The Troy Saga,Just A Man,odysseus,When does a candle become a blaze? Forgive me
The Troy Saga,Just A Man,crew,When does a candle become a blaze? Forgive me
The Troy Saga,Just A Man,odysseus,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,crew,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,odysseus,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,crew,When does a man become a monster? Forgive me
The Troy Saga,Just A Man,odysseus,I'm just a man
The Troy Saga,Just A Man,crew,I'm just a man
The Troy Saga,Full Speed Ahead,odysseus,"Six hundred men, six hundred men under my command"
The Troy Saga,Full Speed Ahead,soldiers,"Six hundred men, six hundred men under my command"
The Troy Saga,Full Speed Ahead,all,"Six hundred men, six hundred men under my command"
The Troy Saga,Full Speed Ahead,odysseus,With only one goal in mind
The Troy Saga,Full Speed Ahead,soldiers,With only one goal in mind
The Troy Saga,Full Speed Ahead,all,With only one goal in mind
The Troy Saga,Full Speed Ahead,odysseus,Make it back alive to our homeland
The Troy Saga,Full Speed Ahead,soldiers,Make it back alive to our homeland
The Troy Saga,Full Speed Ahead,all,Make it back alive to our homeland
The Troy Saga,Full Speed Ahead,odysseus,"Six hundred men, six hundred miles of open sea"
The Troy Saga,Full Speed Ahead,soldiers,"Six hundred men, six hundred miles of open sea"
The Troy Saga,Full Speed Ahead,all,"Six hundred men, six hundred miles of open sea"
The Troy Saga,Full Speed Ahead,odysseus,But the problem's not the distance
The Troy Saga,Full Speed Ahead,soldiers,But the problem's not the distance
The Troy Saga,Full Speed Ahead,all,But the problem's not the distance
The Troy Saga,Full Speed Ahead,odysseus,It's what lies in between
The Troy Saga,Full Speed Ahead,soldiers,It's what lies in between
The Troy Saga,Full Speed Ahead,all,It's what lies in between
The Troy Saga,Full Speed Ahead,odysseus,And Ithaca's waiting Ithaca's waiting
The Troy Saga,Full Speed Ahead,soldiers,And Ithaca's waiting Ithaca's waiting
The Troy Saga,Full Speed Ahead,all,And Ithaca's waiting Ithaca's waiting
The Troy Saga,Full Speed Ahead,odysseus,My kingdom is waiting The kingdom is waiting
The Troy Saga,Full Speed Ahead,soldiers,My kingdom is waiting The kingdom is waiting
The Troy Saga,Full Speed Ahead,all,My kingdom is waiting The kingdom is waiting
The Troy Saga,Full Speed Ahead,odysseus,Penelope's waiting for me
The Troy Saga,Full Speed Ahead,soldiers,Penelope's waiting for me
The Troy Saga,Full Speed Ahead,all,Penelope's waiting for me
The Troy Saga,Full Speed Ahead,odysseus,"So full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,soldiers,"So full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,all,"So full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,eurylochus,"Captain, Eurylochus"
The Troy Saga,Full Speed Ahead,soldiers,"Captain, Eurylochus"
The Troy Saga,Full Speed Ahead,eurylochus,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,soldiers,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,eurylochus,"Six hundred men with big mouths to feed, and we've run out of supplies to eat"
The Troy Saga,Full Speed Ahead,soldiers,"Six hundred men with big mouths to feed, and we've run out of supplies to eat"
The Troy Saga,Full Speed Ahead,eurylochus,"Curse the war, our food store's depleted"
The Troy Saga,Full Speed Ahead,soldiers,"Curse the war, our food store's depleted"
The Troy Saga,Full Speed Ahead,eurylochus,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,soldiers,Six hundred men Six hundred men
The Troy Saga,Full Speed Ahead,eurylochus,Six hundred reasons to take what we can
The Troy Saga,Full Speed Ahead,soldiers,Six hundred reasons to take what we can
The Troy Saga,Full Speed Ahead,eurylochus,"So captain, what's the plan?"
The Troy Saga,Full Speed Ahead,soldiers,"So captain, what's the plan?"
The Troy Saga,Full Speed Ahead,eurylochus,"Captain, what's the plan?"
The Troy Saga,Full Speed Ahead,soldiers,"Captain, what's the plan?"
The Troy Saga,Full Speed Ahead,odysseus,Watch where the birds fly
The Troy Saga,Full Speed Ahead,soldiers,Watch where the birds fly
The Troy Saga,Full Speed Ahead,all,Watch where the birds fly
The Troy Saga,Full Speed Ahead,odysseus,Watch where the birds fly
The Troy Saga,Full Speed Ahead,soldiers,Watch where the birds fly
The Troy Saga,Full Speed Ahead,all,Watch where the birds fly
The Troy Saga,Full Speed Ahead,odysseus,They will lead us to land
The Troy Saga,Full Speed Ahead,soldiers,They will lead us to land
The Troy Saga,Full Speed Ahead,all,They will lead us to land
The Troy Saga,Full Speed Ahead,odysseus,They will lead us to land
The Troy Saga,Full Speed Ahead,soldiers,They will lead us to land
The Troy Saga,Full Speed Ahead,all,They will lead us to land
The Troy Saga,Full Speed Ahead,odysseus,"There we'll hunt for food, my second in command"
The Troy Saga,Full Speed Ahead,soldiers,"There we'll hunt for food, my second in command"
The Troy Saga,Full Speed Ahead,all,"There we'll hunt for food, my second in command"
The Troy Saga,Full Speed Ahead,odysseus,"Now full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,soldiers,"Now full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,all,"Now full speed ahead, full speed ahead"
The Troy Saga,Full Speed Ahead,eurylochus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,eurylochus,"We're up, we're off, and away we go (Full speed ahead)"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and away we go (Full speed ahead)"
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and away we go (Full speed ahead)"
The Troy Saga,Full Speed Ahead,eurylochus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,polites,Captain
The Troy Saga,Full Speed Ahead,odysseus,Polites!
The Troy Saga,Full Speed Ahead,polites,"Look! There in the distance, I see an island"
The Troy Saga,Full Speed Ahead,polites,I see a light that faintly glows
The Troy Saga,Full Speed Ahead,polites,Maybe they're people lighting a fire
The Troy Saga,Full Speed Ahead,polites,"Maybe they'll share some food, who knows?"
The Troy Saga,Full Speed Ahead,odysseus,Something feels off here
The Troy Saga,Full Speed Ahead,odysseus,I see fire but there's no smoke
The Troy Saga,Full Speed Ahead,eurylochus,"I say we strike first, we don't have time to waste"
The Troy Saga,Full Speed Ahead,eurylochus,So let's raid the place and...
The Troy Saga,Full Speed Ahead,odysseus,No
The Troy Saga,Full Speed Ahead,odysseus,"Polites gear up, you and I'll go ahead"
The Troy Saga,Full Speed Ahead,polites,You and I'll go ahead
The Troy Saga,Full Speed Ahead,odysseus,We should try to find a way no one ends up dead
The Troy Saga,Full Speed Ahead,eurylochus,We don't know what's ahead
The Troy Saga,Full Speed Ahead,odysseus,"Give me 'til sunrise, and if we don't return"
The Troy Saga,Full Speed Ahead,soldiers,"Give me 'til sunrise, and if we don't return"
The Troy Saga,Full Speed Ahead,all,"Give me 'til sunrise, and if we don't return"
The Troy Saga,Full Speed Ahead,odysseus,Then six hundred men can make this whole place burn
The Troy Saga,Full Speed Ahead,soldiers,Then six hundred men can make this whole place burn
The Troy Saga,Full Speed Ahead,all,Then six hundred men can make this whole place burn
The Troy Saga,Full Speed Ahead,odysseus,Now full speed ahead
The Troy Saga,Full Speed Ahead,soldiers,Now full speed ahead
The Troy Saga,Full Speed Ahead,all,Now full speed ahead
The Troy Saga,Full Speed Ahead,odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,all,Full speed ahead
The Troy Saga,Full Speed Ahead,odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,all,Full speed ahead
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,all,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,all,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,all,Full speed ahead
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,all,"We're up, we're off, and away we go"
The Troy Saga,Full Speed Ahead,odysseus,"We're up, we're off, and a-"
The Troy Saga,Full Speed Ahead,soldiers,"We're up, we're off, and a-"
The Troy Saga,Full Speed Ahead,all,"We're up, we're off, and a-"
The Troy Saga,Full Speed Ahead,odysseus,Full speed ahead
The Troy Saga,Full Speed Ahead,soldiers,Full speed ahead
The Troy Saga,Full Speed Ahead,all,Full speed ahead
The Troy Saga,Open Arms,polites,"You can relax, my friend"
The Troy Saga,Open Arms,odysseus,Huh?
The Troy Saga,Open Arms,polites,I can tell you're getting nervous
The Troy Saga,Open Arms,polites,So do yourself a service
The Troy Saga,Open Arms,polites,And try to relax my friend
The Troy Saga,Open Arms,odysseus,"I'm fine, Polites"
The Troy Saga,Open Arms,polites,Think of all that we have been through
The Troy Saga,Open Arms,polites,We'll survive what we get into
The Troy Saga,Open Arms,polites,I know that you're tired of the war and bloodshed
The Troy Saga,Open Arms,polites,"Tell me, is this how we're supposed to live?"
The Troy Saga,Open Arms,polites,"Look at how you grip your sword, enough said"
The Troy Saga,Open Arms,polites,Why should we take when we could give?
The Troy Saga,Open Arms,polites,You could show a person that you trust them
The Troy Saga,Open Arms,polites,When you stop and lower your guard
The Troy Saga,Open Arms,polites,Here we have a chance for some adjustment
The Troy Saga,Open Arms,polites,"Give it a try, it's not that hard"
The Troy Saga,Open Arms,polites,I'm telling you
The Troy Saga,Open Arms,polites,This life is amazing when you greet it with open arms
The Troy Saga,Open Arms,polites,"Whatever we face, we'll be fine if we're leading from the heart"
The Troy Saga,Open Arms,polites,"No matter the place, we can light up the world"
The Troy Saga,Open Arms,polites,Here's how to start:
The Troy Saga,Open Arms,polites,Greet the world with open arms
The Troy Saga,Open Arms,polites,Greet the world with open arms
The Troy Saga,Open Arms,lotus eaters,Welcome
The Troy Saga,Open Arms,odysseus,Stay back
The Troy Saga,Open Arms,lotus eaters,Stay back
The Troy Saga,Open Arms,polites,"My friend, greet the world with open arms"
The Troy Saga,Open Arms,odysseus,We're only here for food
The Troy Saga,Open Arms,lotus eaters,Food
The Troy Saga,Open Arms,odysseus,Six hundred friends are waiting for us to show our faces
The Troy Saga,Open Arms,lotus eaters,Food
The Troy Saga,Open Arms,odysseus,"Stay back, I'm warning you"
The Troy Saga,Open Arms,lotus eaters,Food (Num num num)
The Troy Saga,Open Arms,odysseus,"If we don't get back safely, my men will turn this place into blazes"
The Troy Saga,Open Arms,lotus eaters,Here you go
The Troy Saga,Open Arms,polites,See? This life is amazing when you greet it with open arms
The Troy Saga,Open Arms,polites,"Whatever we face, we'll be fine if we're leading from the heart"
The Troy Saga,Open Arms,polites,"No matter the place, we can light up the world"
The Troy Saga,Open Arms,polites,Here's how to start:
The Troy Saga,Open Arms,polites,Greet the world with open arms
The Troy Saga,Open Arms,polites,Greet the world with open arms
The Troy Saga,Open Arms,odysseus,"My friend, I wish that I could say that I agree"
The Troy Saga,Open Arms,odysseus,But look at the way this fruit is glowing and filled with glowing seeds
The Troy Saga,Open Arms,odysseus,It took me a while to notice just what kind of fruit they eat
The Troy Saga,Open Arms,odysseus,"It's a lotus, it controls your mind and never lets you free"
The Troy Saga,Open Arms,odysseus,That's what we'd get with open arms
The Troy Saga,Open Arms,polites,"Lotus eaters, I'd like to show my friend that kindness is brave"
The Troy Saga,Open Arms,polites,Could you tell me where there's other food to eat?
The Troy Saga,Open Arms,lotus eaters,The cave (Scary cave)
The Troy Saga,Open Arms,polites,A cave! You're saying there's a cave where we could feast?
The Troy Saga,Open Arms,polites,And where do we sail to find this food-filled cave?
The Troy Saga,Open Arms,lotus eaters,East (That way)
The Troy Saga,Open Arms,polites,Thank you!
The Troy Saga,Open Arms,lotus eaters,Welcome
The Troy Saga,Open Arms,polites,This life is amazing when you greet it with open arms
The Troy Saga,Open Arms,polites,"I see in your face, there is so much guilt inside your heart"
The Troy Saga,Open Arms,polites,So why not replace it and light up the world
The Troy Saga,Open Arms,polites,Here's how to start:
The Troy Saga,Open Arms,polites,Greet the world with open arms
The Troy Saga,Open Arms,polites,Greet the world with open arms
The Troy Saga,Open Arms,odysseus,Greet the world with open arms
The Troy Saga,Open Arms,polites,"You can relax, my friend"
The Troy Saga,Warrior of the Mind,athena,Have you forgotten the lessons I taught you?
The Troy Saga,Warrior of the Mind,odysseus,Athena!
The Troy Saga,Warrior of the Mind,athena,Have you forgotten to turn off your heart? This is not you
The Troy Saga,Warrior of the Mind,athena,I see you changing from how I've designed you
The Troy Saga,Warrior of the Mind,athena,Have you forgotten your purpose? Let me remind you
The Troy Saga,Warrior of the Mind,athena,"Goddess of wisdom, master of war"
The Troy Saga,Warrior of the Mind,athena,"My life has one mission, create the greatest warrior"
The Troy Saga,Warrior of the Mind,athena,"I had a challenge, a test of skill"
The Troy Saga,Warrior of the Mind,athena,A magic boar only the best could kill
The Troy Saga,Warrior of the Mind,athena,One day a boy came for the thrill
The Troy Saga,Warrior of the Mind,athena,A boy whose mind rivalled the boar's own will
The Troy Saga,Warrior of the Mind,odysseus,Let's go!
The Troy Saga,Warrior of the Mind,athena,Maybe one day he'll follow me
The Troy Saga,Warrior of the Mind,athena,"And w?'ll make a greater tomorrow, th?n they'll see"
The Troy Saga,Warrior of the Mind,athena,I know he'll change the world
The Troy Saga,Warrior of the Mind,athena,'Cause he is a warrior of the mind
The Troy Saga,Warrior of the Mind,athena,Maybe one day I'll reach him
The Troy Saga,Warrior of the Mind,athena,And we can build his skills as I teach him
The Troy Saga,Warrior of the Mind,athena,"If there's a problem, he'll have the answer"
The Troy Saga,Warrior of the Mind,athena,He is a warrior of the mind
The Troy Saga,Warrior of the Mind,odysseus,Show yourself
The Troy Saga,Warrior of the Mind,odysseus,I know you're watching me
The Troy Saga,Warrior of the Mind,odysseus,Show yourself
The Troy Saga,Warrior of the Mind,odysseus,I can see you
The Troy Saga,Warrior of the Mind,athena,How can you see through my spell?
The Troy Saga,Warrior of the Mind,odysseus,Haha! I was lying and you fell for my bluff
The Troy Saga,Warrior of the Mind,odysseus,Hahahaha
The Troy Saga,Warrior of the Mind,athena,"Well done, enlighten me, what's your name?"
The Troy Saga,Warrior of the Mind,odysseus,"You first, and maybe I'll do the same"
The Troy Saga,Warrior of the Mind,athena,"Nice try, but two can play this game"
The Troy Saga,Warrior of the Mind,odysseus,"Nah, don't be modest"
The Troy Saga,Warrior of the Mind,ensemble,"Nah, don't be modest"
The Troy Saga,Warrior of the Mind,odysseus,I know you're a goddess
The Troy Saga,Warrior of the Mind,ensemble,I know you're a goddess
The Troy Saga,Warrior of the Mind,odysseus,So let's be honest
The Troy Saga,Warrior of the Mind,ensemble,So let's be honest
The Troy Saga,Warrior of the Mind,odysseus,You are Athena (Athena)
The Troy Saga,Warrior of the Mind,ensemble,You are Athena (Athena)
The Troy Saga,Warrior of the Mind,odysseus,Badass in the arena
The Troy Saga,Warrior of the Mind,ensemble,Badass in the arena
The Troy Saga,Warrior of the Mind,odysseus,"Unmatched, witty, and queen of"
The Troy Saga,Warrior of the Mind,ensemble,"Unmatched, witty, and queen of"
The Troy Saga,Warrior of the Mind,odysseus,The best strategies we've seen
The Troy Saga,Warrior of the Mind,ensemble,The best strategies we've seen
The Troy Saga,Warrior of the Mind,athena,"If you're looking for a mentor, I'll make sure your time's well spent"
The Troy Saga,Warrior of the Mind,odysseus,Sounds like a plan
The Troy Saga,Warrior of the Mind,odysseus,Goddess and man
The Troy Saga,Warrior of the Mind,odysseus,Bestest of friends
The Troy Saga,Warrior of the Mind,athena,We'll see where it ends
The Troy Saga,Warrior of the Mind,odysseus,Okay
The Troy Saga,Warrior of the Mind,athena,Maybe one day they'll follow me and we'll
The Troy Saga,Warrior of the Mind,odysseus,"Make a greater tomorrow, then they'll see"
The Troy Saga,Warrior of the Mind,athena,"Make a greater tomorrow, then they'll see"
The Troy Saga,Warrior of the Mind,odysseus,I know we'll change the world
The Troy Saga,Warrior of the Mind,athena,I know we'll change the world
The Troy Saga,Warrior of the Mind,odysseus,'Cause we are the warriors of the mind
The Troy Saga,Warrior of the Mind,athena,'Cause we are the warriors of the mind
The Troy Saga,Warrior of the Mind,odysseus,Maybe one day we'll reach them
The Troy Saga,Warrior of the Mind,athena,Maybe one day we'll reach them
The Troy Saga,Warrior of the Mind,odysseus,And we can build their skills as we teach them
The Troy Saga,Warrior of the Mind,athena,And we can build their skills as we teach them
The Troy Saga,Warrior of the Mind,odysseus,"If there's a problem, we'll have the answer"
The Troy Saga,Warrior of the Mind,athena,"If there's a problem, we'll have the answer"
The Troy Saga,Warrior of the Mind,odysseus,We are the warriors of the mind
The Troy Saga,Warrior of the Mind,athena,We are the warriors of the mind
The Troy Saga,Warrior of the Mind,athena,I still intend to make sure you don't fall behind
The Troy Saga,Warrior of the Mind,athena,Don't forget that you're a warrior of a very special kind
The Troy Saga,Warrior of the Mind,athena,You are a warrior of the mind
The Troy Saga,Warrior of the Mind,athena,Don't disappoint me
The Cyclops Saga,Polyphemus,odysseus,Over here!
The Cyclops Saga,Polyphemus,polites,"Look at all this food, look at all these sheep"
The Cyclops Saga,Polyphemus,polites,I can't believe this cave has all this for us to keep
The Cyclops Saga,Polyphemus,eurylochus,"I've gotta hand it to you both, this is quite the treat"
The Cyclops Saga,Polyphemus,eurylochus,There are enough sheep here to feed the entire fleet
The Cyclops Saga,Polyphemus,odysseus,"It's almost too perfect, too good to be true"
The Cyclops Saga,Polyphemus,odysseus,Why would the lotus eaters pass up on all this food?
The Cyclops Saga,Polyphemus,polyphemus,Who are you?
The Cyclops Saga,Polyphemus,odysseus,Hey there
The Cyclops Saga,Polyphemus,odysseus,We're just travellers
The Cyclops Saga,Polyphemus,odysseus,We come in peace
The Cyclops Saga,Polyphemus,polyphemus,You killed my sheep
